SPECIES,GENDER
Bulbasaur,
Ivysaur,
Venusaur,
Charmander,
Charmeleon,
Charizard,
Squirtle,
Wartortle,
Blastoise,
Caterpie,
Metapod,
Butterfree,
Weedle,
Kakuna,
Beedrill,
Pidgey,
Pidgeotto,
Pidgeot,
Rattata,
Raticate,
Spearow,
Fearow,
Ekans,
Arbok,
Pikachu,
Raichu,
Sandshrew,
Sandslash,
Nidoran♀,FEMALE
Nidorina,FEMALE
Nidoqueen,FEMALE
Nidoran♂,MALE
Nidorino,MALE
Nidoking,MALE
Clefairy,
Clefable,
Vulpix,
Ninetales,
Jigglypuff,
Wigglytuff,
Zubat,
Golbat,
Oddish,
Gloom,
Vileplume,
Paras,
Parasect,
Venonat,
Venomoth,
Diglett,
Dugtrio,
Meowth,
Persian,
Psyduck,
Golduck,
Mankey,
Primeape,
Growlithe,
Arcanine,
Poliwag,
Poliwhirl,
Poliwrath,
Abra,
Kadabra,
Alakazam,
Machop,
Machoke,
Machamp,
Bellsprout,
Weepinbell,
Victreebel,
Tentacool,
Tentacruel,
Geodude,
Graveler,
Golem,
Ponyta,
Rapidash,
Slowpoke,
Slowbro,
Magnemite,UNKNOWN
Magneton,UNKNOWN
Farfetch'd,
Doduo,
Dodrio,
Seel,
Dewgong,
Grimer,
Muk,
Shellder,
Cloyster,
Gastly,
Haunter,
Gengar,
Onix,
Drowzee,
Hypno,
Krabby,
Kingler,
Voltorb,UNKNOWN
Electrode,UNKNOWN
Exeggcute,
Exeggutor,
Cubone,
Marowak,
Hitmonlee,MALE
Hitmonchan,MALE
Lickitung,
Koffing,
Weezing,
Rhyhorn,
Rhydon,
Chansey,FEMALE
Tangela,
Kangaskhan,FEMALE
Horsea,
Seadra,
Goldeen,
Seaking,
Staryu,UNKNOWN
Starmie,UNKNOWN
Mr. Mime,
Scyther,
Jynx,FEMALE
Electabuzz,
Magmar,
Pinsir,
Tauros,MALE
Magikarp,
Gyarados,
Lapras,
Ditto,UNKNOWN
Eevee,
Vaporeon,
Jolteon,
Flareon,
Porygon,UNKNOWN
Omanyte,
Omastar,
Kabuto,
Kabutops,
Aerodactyl,
Snorlax,
Articuno,UNKNOWN
Zapdos,UNKNOWN
Moltres,UNKNOWN
Dratini,
Dragonair,
Dragonite,
Mewtwo,UNKNOWN
Mew,UNKNOWN
