SPECIES,RED,GREEN,BLUE,YELLOW
Caterpie,inf,inf,inf,inf
Metapod,inf,inf,inf,inf
Weedle,inf,inf,inf,
Kakuna,inf,inf,inf,
Pidgey,inf,inf,inf,inf
Pidgeotto,inf,inf,inf,inf
Rattata,inf,inf,inf,inf
Raticate,inf,inf,inf,inf
Spearow,inf,inf,inf,inf
Fearow,inf,inf,inf,inf
Ekans,inf,,,
Arbok,inf,,,
Pikachu,inf,inf,inf,
Raichu,inf,inf,inf,
Sandshrew,,inf,inf,inf
Sandslash,,inf,inf,inf
Nidoran♀,inf,inf,inf,inf
Nidorina,inf,inf,inf,inf
Nidoran♂,inf,inf,inf,inf
Nidorino,inf,inf,inf,inf
Clefairy,inf,inf,inf,inf
Vulpix,,inf,,
Jigglypuff,inf,inf,inf,inf
Wigglytuff,inf,inf,inf,
Zubat,inf,inf,inf,inf
Golbat,inf,inf,inf,inf
Oddish,inf,,inf,inf
Gloom,inf,,inf,inf
Paras,inf,inf,inf,inf
Parasect,inf,inf,inf,inf
Venonat,inf,inf,inf,inf
Venomoth,inf,inf,inf,inf
Diglett,inf,inf,inf,inf
Dugtrio,inf,inf,inf,inf
Meowth,,inf,inf,
Psyduck,inf,inf,inf,inf
Golduck,inf,inf,,inf
Mankey,inf,,,inf
Primeape,,,,inf
Growlithe,inf,,inf,inf
Poliwag,inf,inf,inf,inf
Poliwhirl,inf,inf,inf,inf
Abra,inf,inf,inf,inf
Kadabra,inf,inf,inf,inf
Machop,inf,inf,inf,inf
Machoke,inf,inf,inf,inf
Bellsprout,,inf,,inf
Weepinbell,,inf,,inf
Tentacool,inf,inf,inf,inf
Tentacruel,,,,inf
Geodude,inf,inf,inf,inf
Graveler,inf,inf,inf,inf
Ponyta,inf,inf,inf,inf
Rapidash,,,inf,
Slowpoke,inf,inf,inf,inf
Slowbro,inf,inf,inf,inf
Magnemite,inf,inf,inf,inf
Magneton,inf,inf,inf,inf
Farfetch'd,,,,inf
Doduo,inf,inf,inf,inf
Dodrio,inf,inf,inf,inf
Seel,inf,inf,inf,inf
Dewgong,inf,inf,inf,inf
Grimer,inf,inf,inf,inf
Muk,inf,inf,inf,inf
Shellder,inf,inf,inf,inf
Gastly,inf,inf,inf,inf
Haunter,inf,inf,inf,inf
Onix,inf,inf,inf,inf
Drowzee,inf,inf,inf,inf
Hypno,inf,inf,inf,
Krabby,inf,inf,inf,inf
Kingler,inf,inf,inf,inf
Voltorb,inf,inf,inf,inf
Electrode,inf,inf,inf,2
Exeggcute,inf,inf,inf,inf
Cubone,inf,inf,inf,inf
Marowak,inf,inf,inf,inf
Lickitung,,,inf,inf
Koffing,inf,inf,inf,
Weezing,inf,inf,inf,
Rhyhorn,inf,inf,inf,inf
Rhydon,inf,inf,inf,inf
Chansey,inf,inf,inf,inf
Tangela,inf,inf,inf,inf
Kangaskhan,inf,inf,,inf
Horsea,inf,inf,inf,inf
Seadra,inf,inf,inf,inf
Goldeen,inf,inf,inf,inf
Seaking,inf,inf,inf,inf
Staryu,inf,inf,inf,inf
Scyther,inf,,inf,inf
Jynx,,,inf,
Electabuzz,inf,,,
Magmar,,inf,,
Pinsir,,inf,inf,inf
Tauros,inf,inf,,inf
Magikarp,inf,inf,inf,inf
Gyarados,,,,inf
Ditto,inf,inf,inf,inf
Snorlax,2,2,2,2
Articuno,1,1,1,1
Zapdos,1,1,1,1
Moltres,1,1,1,1
Dratini,inf,inf,inf,inf
Dragonair,,,,inf
Mewtwo,1,1,1,1
Moon Stone,5,5,5,5
