PARENT,CHILD
Bulbasaur,Bulbasaur
Ivysaur,Bulbasaur
Venusaur,Bulbasaur
Charmander,Charmander
Charmeleon,Charmander
Charizard,Charmander
Squirtle,Squirtle
Wartortle,Squirtle
Blastoise,Squirtle
Caterpie,Caterpie
Metapod,Caterpie
Butterfree,Caterpie
Weedle,Weedle
Kakuna,Weedle
Beedrill,Weedle
Pidgey,Pidgey
Pidgeotto,Pidgey
Pidgeot,Pidgey
Rattata,Rattata
Raticate,Rattata
Spearow,Spearow
Fearow,Spearow
Ekans,Ekans
Arbok,Ekans
Pikachu,Pichu
Raichu,Pichu
Sandshrew,Sandshrew
Sandslash,Sandshrew
Nidoran F,Nidoran F
Nidoran F,Nidoran M
Nidoran M,Nidoran M
Nidorino,Nidoran M
Nidoking,Nidoran M
Clefairy,Cleffa
Clefable,Cleffa
Vulpix,Vulpix
Ninetales,Vulpix
Jigglypuff,Igglybuff
Wigglytuff,Igglybuff
Zubat,Zubat
Golbat,Zubat
Oddish,Oddish
Gloom,Oddish
Vileplume,Oddish
Paras,Paras
Parasect,Paras
Venonat,Venonat
Venomoth,Venonat
Diglett,Diglett
Dugtrio,Diglett
Meowth,Meowth
Persian,Meowth
Psyduck,Psyduck
Golduck,Psyduck
Mankey,Mankey
Primeape,Mankey
Growlithe,Growlithe
Arcanine,Growlithe
Poliwag,Poliwag
Poliwhirl,Poliwag
Poliwrath,Poliwag
Abra,Abra
Kadabra,Abra
Alakazam,Abra
Machop,Machop
Machoke,Machop
Machamp,Machop
Bellsprout,Bellsprout
Weepinbell,Bellsprout
Victreebel,Bellsprout
Tentacool,Tentacool
Tentacruel,Tentacool
Geodude,Geodude
Graveler,Geodude
Golem,Geodude
Ponyta,Ponyta
Rapidash,Ponyta
Slowpoke,Slowpoke
Slowbro,Slowpoke
Magnemite,Magnemite
Magneton,Magnemite
Farfetch'd,Farfetch'd
Doduo,Doduo
Dodrio,Doduo
Seel,Seel
Dewgong,Seel
Grimer,Grimer
Muk,Grimer
Shellder,Shellder
Cloyster,Shellder
Gastly,Gastly
Haunter,Gastly
Gengar,Gastly
Onix,Onix
Drowzee,Drowzee
Hypno,Drowzee
Krabby,Krabby
Kingler,Krabby
Voltorb,Voltorb
Electrode,Voltorb
Exeggcute,Exeggcute
Exeggutor,Exeggcute
Cubone,Cubone
Marowak,Cubone
Hitmonlee,Tyrogue
Hitmonchan,Tyrogue
Lickitung,Lickitung
Koffing,Koffing
Weezing,Koffing
Rhyhorn,Rhyhorn
Rhydon,Rhyhorn
Chansey,Chansey
Tangela,Tangela
Kangaskhan,Kangaskhan
Horsea,Horsea
Seadra,Horsea
Goldeen,Goldeen
Seaking,Goldeen
Staryu,Staryu
Starmie,Staryu
Mr. Mime,Mr. Mime
Scyther,Scyther
Jynx,Smoochum
Electabuzz,Elekid
Magmar,Magby
Pinsir,Pinsir
Tauros,Tauros
Magikarp,Magikarp
Gyarados,Magikarp
Lapras,Lapras
Eevee,Eevee
Vaporeon,Eevee
Jolteon,Eevee
Flareon,Eevee
Porygon,Porygon
Omanyte,Omanyte
Omastar,Omanyte
Kabuto,Kabuto
Kabutops,Kabuto
Aerodactyl,Aerodactyl
Snorlax,Snorlax
Dratini,Dratini
Dragonair,Dratini
Dragonite,Dratini
Chikorita,Chikorita
Bayleef,Chikorita
Meganium,Chikorita
Cyndaquil,Cyndaquil
Quilava,Cyndaquil
Typhlosion,Cyndaquil
Totodile,Totodile
Croconaw,Totodile
Feraligatr,Totodile
Sentret,Sentret
Furret,Sentret
Hoothoot,Hoothoot
Noctowl,Hoothoot
Ledyba,Ledyba
Ledian,Ledyba
Spinarak,Spinarak
Ariados,Spinarak
Crobat,Zubat
Chinchou,Chinchou
Lanturn,Chinchou
Togetic,Togepi
Natu,Natu
Xatu,Natu
Mareep,Mareep
Flaaffy,Mareep
Ampharos,Mareep
Bellossom,Oddish
Marill,Marill
Azumarill,Marill
Sudowoodo,Sudowoodo
Politoed,Poliwag
Hoppip,Hoppip
Skiploom,Hoppip
Jumpluff,Hoppip
Aipom,Aipom
Sunkern,Sunkern
Sunflora,Sunkern
Yanma,Yanma
Wooper,Wooper
Quagsire,Wooper
Espeon,Eevee
Umbreon,Eevee
Murkrow,Murkrow
Slowking,Slowpoke
Misdreavus,Misdreavus
Wobbuffet,Wobbuffet
Girafarig,Girafarig
Pineco,Pineco
Forretress,Pineco
Dunsparce,Dunsparce
Gligar,Gligar
Steelix,Onix
Snubbull,Snubbull
Granbull,Snubbull
Qwilfish,Qwilfish
Scizor,Scyther
Shuckle,Shuckle
Heracross,Heracross
Sneasel,Sneasel
Teddiursa,Teddiursa
Ursaring,Teddiursa
Slugma,Slugma
Magcargo,Slugma
Swinub,Swinub
Piloswine,Swinub
Corsola,Corsola
Remoraid,Remoraid
Octillery,Remoraid
Delibird,Delibird
Mantine,Mantine
Skarmory,Skarmory
Houndour,Houndour
Houndoom,Houndour
Kingdra,Horsea
Phanpy,Phanpy
Donphan,Phanpy
Porygon2,Porygon
Stantler,Stantler
Smeargle,Smeargle
Hitmontop,Tyrogue
Miltank,Miltank
Blissey,Chansey
Larvitar,Larvitar
Pupitar,Larvitar
Tyranitar,Larvitar
