GAME,SPECIES,ITEM
CORE,Clefairy,Moon Stone
CORE,Clefable,Moon Stone
CORE,Poliwhirl,King's Rock
CORE,Poliwrath,King's Rock
CORE,Geodude,Everstone
CORE,Graveler,Everstone
CORE,Slowpoke,King's Rock
CORE,Slowbro,King's Rock
CORE,Magnemite,Metal Coat
CORE,Magneton,Metal Coat
CORE,Horsea,Dragon Scale
CORE,Seadra,Dragon Scale
CORE,Dratini,Dragon Scale
CORE,Dragonair,Dragon Scale
CORE,Dragonite,Dragon Scale
CORE,Cleffa,Moon Stone
CORE,Politoed,King's Rock
CORE,Slowking,King's Rock
CORE,Steelix,Metal Coat
CORE,Kingdra,Dragon Scale
