GAME,POKEMON_OR_ITEM,EXCHANGE
"RUBY,SAPPHIRE,EMERALD",Fire Stone,Red Shard
"RUBY,SAPPHIRE,EMERALD",Leaf Stone,Green Shard
"RUBY,SAPPHIRE,EMERALD",Thunder Stone,Yellow Shard
"RUBY,SAPPHIRE,EMERALD",Water Stone,Blue Shard
"RUBY,SAPPHIRE",King's Rock
EMERALD,King's Rock,
"FIRERED,LEAFGREEN",Abra,
"FIRERED,LEAFGREEN",Clefairy,
"FIRERED,LEAFGREEN",Dratini,
"FIRERED,LEAFGREEN",Porygon,
"FIRERED,LEAFGREEN",Dragon Scale,
"FIRERED,LEAFGREEN",Fire Stone,
"FIRERED,LEAFGREEN",King's Rock,
"FIRERED,LEAFGREEN",Metal Coat,
"FIRERED,LEAFGREEN",Leaf Stone,
"FIRERED,LEAFGREEN",Thunder Stone,
"FIRERED,LEAFGREEN",Upgrade,
"FIRERED,LEAFGREEN",Water Stone,
FIRERED,Scyther,
LEAFGREEN,Pinsir,
"COLOSSEUM,XD",King's Rock,
XD,Chikorita,
XD,Cyndaquil,
XD,Totodile,
