GAME,GIVE,GET,ITEM
"RUBY,SAPPHIRE",Slakoth,Makuhita_MALE,
"RUBY,SAPPHIRE",Pikachu,Skitty_FEMALE,
"RUBY,SAPPHIRE",Bellossom,Corsola_FEMALE,
"FIRERED,LEAFGREEN",Abra,Mr. Mime_MALE,
"FIRERED,LEAFGREEN",Poliwhirl,Jynx_FEMALE,
"FIRERED,LEAFGREEN",Spearow,Farfetch'd_MALE,
"FIRERED,LEAFGREEN",Raichu,Electrode,
"FIRERED,LEAFGREEN",Venonat,Tangela_MALE,
"FIRERED,LEAFGREEN",Ponyta,Seel_MALE,
EMERALD,Ralts,Seedot_MALE,
EMERALD,Volbeat,Plusle_FEMALE,
EMERALD,Bagon,Horsea_MALE,
EMERALD,Skitty,Meowth_MALE,
FIRERED,Nidoran M,Nidoran F_FEMALE,
FIRERED,Nidorino,Nidorina_FEMALE,
FIRERED,Golduck,Lickitung,
LEAFGREEN,Nidoran F,Nidoran M_MALE,
LEAFGREEN,Nidorina,Nidorino_MALE,
LEAFGREEN,Slowbro,Lickitung_MALE,
XD,Togepi_SHADOW,Elekid,
XD,Togetic_SHADOW,Elekid,
XD,Trapinch,Meditite,
XD,Surskit,Shuckle,
XD,Wooper,Larvitar,
