SPECIES,RUBY,SAPPHIRE,EMERALD,FIRERED,LEAFGREEN,XD
Caterpie,,,,inf,inf,
Metapod,,,,inf,inf,
Weedle,,,,inf,inf,
Kakuna,,,,inf,inf,
Pidgey,,,,inf,inf,
Pidgeotto,,,,inf,inf,
Rattata,,,,inf,inf,
Raticate,,,,inf,inf,
Spearow,,,,inf,inf,
Fearow,,,,inf,inf,
Ekans,,,,inf,,
Arbok,,,,inf,,
Pikachu,inf,inf,inf,inf,inf,
Sandshrew,inf,inf,inf,,inf,inf
Sandslash,,,,,inf,
Nidoran F,,,,inf,inf,
Nidorina,,,,inf,inf,
Nidoran M,,,,inf,inf,
Nidorino,,,,inf,inf,
Clefairy,,,,inf,inf,
Vulpix,inf,inf,inf,,inf,
Jigglypuff,inf,inf,inf,inf,inf,
Zubat,inf,inf,inf,inf,inf,inf
Golbat,inf,inf,inf,inf,inf,
Oddish,inf,inf,inf,inf,,
Gloom,inf,inf,inf,inf,,
Paras,,,,inf,inf,
Parasect,,,,inf,inf,
Venonat,,,,inf,inf,
Venomoth,,,,inf,inf,
Diglett,,,,inf,inf,
Dugtrio,,,,inf,inf,
Meowth,,,,inf,inf,
Persian,,,,inf,inf,
Psyduck,inf,inf,inf,inf,,
Golduck,inf,inf,inf,inf,,
Mankey,,,,inf,inf,
Primeape,,,,inf,inf,
Growlithe,,,,inf,,
Poliwag,,,,inf,inf,
Poliwhirl,,,,inf,inf,
Abra,inf,inf,inf,inf,inf,
Kadabra,,,,inf,inf,
Machop,inf,inf,inf,inf,inf,
Machoke,,,,inf,inf,
Bellsprout,,,,,inf,
Weepinbell,,,,,inf,
Tentacool,inf,inf,inf,inf,inf,
Tentacruel,inf,inf,inf,inf,inf,
Geodude,inf,inf,inf,inf,inf,
Graveler,inf,inf,inf,inf,inf,
Ponyta,,,,inf,inf,
Rapidash,,,,inf,inf,
Slowpoke,,,,,inf,
Slowbro,,,,,inf,
Magnemite,inf,inf,inf,inf,inf,
Magneton,inf,inf,inf,inf,inf,
Doduo,inf,inf,inf,inf,inf,
Dodrio,inf,inf,inf,,,
Seel,,,,inf,inf,
Dewgong,,,,inf,inf,
Grimer,inf,inf,inf,inf,inf,
Muk,,,,,inf,
Shellder,,,,inf,,
Gastly,,,,inf,inf,
Haunter,,,,inf,inf,
Onix,,,,inf,inf,
Drowzee,,,,inf,inf,
Hypno,,,,inf,inf,
Krabby,,,,inf,inf,
Kingler,,,,,inf,
Voltorb,inf,inf,inf,inf,inf,
Electrode,inf,inf,inf,inf,inf,
Exeggcute,,,,inf,inf,
Cubone,,,,inf,inf,
Marowak,,,,inf,inf,
Koffing,inf,inf,inf,inf,inf,
Weezing,,,,inf,,
Rhyhorn,inf,inf,inf,inf,inf,
Chansey,,,,inf,inf,
Tangela,,,,inf,inf,
Kangaskhan,,,,inf,inf,
Horsea,inf,inf,inf,inf,inf,
Seadra,,,,inf,,
Goldeen,inf,inf,inf,inf,inf,
Seaking,inf,inf,inf,inf,inf,
Staryu,inf,inf,inf,,inf,
Scyther,,,,inf,,
Electabuzz,,,,inf,,
Magmar,,,,,inf,
