ITEM,KEY
Armor Fossil,
Azure Flute,TRUE
Blue Orb,TRUE
Claw Fossil,
Dawn Stone,
Deep Sea Scale,
Deep Sea Tooth,
Dome Fossil,
Draco Plate,
Dragon Scale,
Dread Plate,
Dubious Disc,
Dusk Stone,
Earth Plate,
Electirizer,
Enigma Stone,TRUE
Everstone,
Fire Stone,
Fist Plate,
Flame Plate,
Full Incense,
Gracidea,TRUE
Griseous Orb,TRUE
Helix Fossil,
Icicle Plate,
Insect Plate,
Iron Plate,
Jade Orb,TRUE
King's Rock,
Lax Incense,
Leaf Stone,
Luck Incense,
Magmarizer,
Meadow Plate,
Member Card,TRUE
Metal Coat,
Mind Plate,
Moon Stone,
Oak's Letter,TRUE
Odd Incense,
Odd Keystone,
Old Amber,
Oval Stone,
Protector,
Pure Incense,
Razor Claw,
Razor Fang,
Reaper Cloth,
Red Orb,TRUE
Rock Incense,
Root Fossil,
Rose Incense,
Sea Incense,
Secret Key,TRUE
Shiny Stone,
Skull Fossil,
Sky Plate,
Splash Plate,
Spooky Plate,
Stone Plate,
Sun Stone,
Thunder Stone,
Toxic Plate,
Upgrade,
Water Stone,
Wave Incense,
Zap Plate,
