SPECIES,BLACK,WHITE,BLACK2,WHITE2,DREAMRADAR,DREAMWORLD
Metapod,,inf,,,,
Butterfree,,inf,,inf,,inf[BLACK];inf[WHITE]
Kakuna,inf,,,,,
Beedrill,inf,,inf,,,inf[BLACK];inf[WHITE]
Pidgey,,inf[$WF_LEO],,,,inf
Rattata,,,inf,inf,,inf
Raticate,inf,inf,inf,inf,,
Spearow,,,,,,inf
Fearow,inf,inf,inf,inf,,
Ekans,,,,,,inf
Sandshrew,,,inf,inf,,inf
Sandslash,inf,inf,inf,inf,,
Nidoran♀,,inf[$WF_JACQUES],inf,inf,,inf[BLACK];inf[WHITE]
Nidoran♂,,inf[$WF_KEN],inf,inf,,inf[BLACK];inf[WHITE]
Clefairy,inf,inf,inf,inf,,
Clefable,inf,inf,inf,inf,,
Vulpix,inf,inf,inf,inf,,inf
Ninetales,inf,inf,inf,inf,,
Jigglypuff,inf,inf,inf,inf,,
Wigglytuff,inf,inf,inf,inf,,
Zubat,,,inf,inf,,inf
Golbat,inf,inf,inf,inf,,
Oddish,,inf[$WF_LYNETTE],,,,inf
Paras,,inf,,,,inf
Venonat,,,inf,inf,,inf[BLACK];inf[WHITE]
Venomoth,inf,inf,,,,
Diglett,,,,,,inf
Meowth,,,,,,inf[BLACK];inf[WHITE]
Psyduck,,,inf,inf,,inf
Golduck,inf,inf,inf,inf,,
Mankey,inf,inf,,,,inf[BLACK];inf[WHITE]
Growlithe,,,inf,inf,,inf
Poliwag,inf,inf,inf,inf,,inf
Poliwhirl,inf,inf,inf,inf,,inf[$CAFE]
Poliwrath,inf,inf,inf,inf,,
Abra,,inf[$WF_COLLIN],,,,inf
Machop,,inf[$WF_RYDER],,,,inf
Bellsprout,,inf[$WF_PIPER],,,,inf
Tentacool,,,,,,inf
Geodude,,,,,,inf
Graveler,inf,inf,,,,
Ponyta,,,,,,inf
Rapidash,inf,inf,,,,
Slowpoke,inf,inf,inf,inf,inf,inf[BLACK];inf[WHITE]
Slowbro,inf,inf,,,,
Magnemite,,inf[$WF_MARIE],inf,inf,,inf
Magneton,,,inf,inf,,
Farfetch'd,inf,inf,inf,inf,,inf
Doduo,inf,inf,inf,inf,,inf
Seel,inf,inf,inf,inf,,inf
Dewgong,inf,inf,inf,inf,,
Grimer,,,inf,inf,,inf[BLACK];inf[WHITE]
Muk,,,inf,inf,,
Shellder,inf,inf,inf,inf,,inf
Cloyster,inf,inf,inf,inf,,
Gastly,,inf[$WF_DAVE],,,,inf
Onix,inf,inf,inf,inf,,inf
Drowzee,,,,,,inf
Hypno,,,inf,inf,,
Krabby,inf,inf,inf,inf,,inf[BLACK];inf[WHITE]
Kingler,inf,inf,inf,inf,,
Voltorb,,,,,,inf
Exeggcute,inf,inf,,,,inf
Cubone,,,,,,inf
Marowak,inf,inf,,,,
Lickitung,inf,inf,inf,inf,,inf
Koffing,,,inf,inf,,inf
Weezing,,,inf,inf,,
Rhyhorn,,inf[$WF_SHANE],,,,inf[BLACK];inf[WHITE]
Chansey,,,,,,inf
Tangela,inf,inf,inf,inf,,inf
Kangaskhan,inf,inf,,,,inf
Horsea,inf,inf,inf,inf,,inf
Seadra,inf,inf,inf,inf,,
Goldeen,inf,inf,inf,inf,,inf
Seaking,inf,inf,inf,inf,,inf[BLACK];inf[WHITE]
Staryu,inf,inf,inf,inf,inf,inf[BLACK];inf[WHITE]
Starmie,inf,inf,inf,inf,,
Mr. Mime,,,,inf,,inf
Scyther,,,,,,inf
Jynx,inf,inf,,,,
Pinsir,inf,inf,inf,inf,,inf
Tauros,,,,,,inf
Magikarp,,,inf,inf,,inf
Gyarados,,,inf,inf,,
Lapras,inf,inf,inf,inf,,inf
Ditto,inf,inf,inf,inf,,
Eevee,,,inf,inf,,inf
Porygon,,inf[$WF_HERMAN],,,inf,
Omanyte,,,,,,inf
Kabuto,,,,,,inf
Aerodactyl,,,,,,inf
Snorlax,,,,,,inf
Dratini,inf,inf,inf,inf,,inf
Dragonair,inf,inf,inf,inf,,
Dragonite,inf,inf,inf,inf,,
Sentret,inf,inf,,,,inf
Furret,,,inf,inf,,
Hoothoot,,,,,inf,inf[BLACK];inf[WHITE]
Noctowl,inf,inf,inf,inf,,
Ledyba,,,,,,inf
Ledian,inf,inf,,inf,,
Spinarak,,,,,,inf
Ariados,inf,inf,inf,,,
Crobat,inf,inf,inf,inf,,
Chinchou,inf,inf,inf,inf,,inf
Lanturn,inf,inf,inf,inf,,
Cleffa,,,,,,inf[BLACK];inf[WHITE]
Igglybuff,,,,,inf,inf[BLACK];inf[WHITE]
Togepi,,inf[$WF_MIKI],,,inf,inf
Togetic,,,
Natu,,,inf,inf,,inf
Mareep,,inf[$WF_PIERCE],inf,inf,,inf
Marill,,,inf,inf,,inf
Azumarill,,,inf,inf,,
Sudowoodo,,,inf,,,inf
Politoed,inf,inf,inf,inf,,
Hoppip,,inf[$WF_BRITNEY],inf,inf,,inf
Aipom,,,,,,inf
Sunkern,inf,inf,inf,inf,,inf
Sunflora,inf,inf,,,,
Yanma,inf,inf,inf,inf,,inf
Wooper,,inf[$WF_FREDERIC];inf[$WF_GRACE];inf[$WF_HERMAN];inf[$WF_LENA],,,,inf
Quagsire,,,inf,inf,,
Murkrow,inf,,inf,inf,,inf
Slowking,inf,inf,,,,
Misdreavus,,inf,,,,inf
Wobbuffet,,,,,,inf[BLACK];inf[WHITE]
Girafarig,,,inf,inf,,inf
Pineco,inf,inf,inf,inf,,inf
Dunsparce,inf,inf,inf,inf,,inf[BLACK];inf[WHITE]
Gligar,inf,inf,inf,inf,,inf
Steelix,,,inf,inf,,
Snubbull,,,,,,inf
Granbull,,,inf,inf,,
Qwilfish,inf,inf,inf,inf,,inf
Shuckle,inf,inf,inf,inf,inf,inf[BLACK];inf[WHITE]
Heracross,inf,inf,inf,inf,,inf
Sneasel,inf,inf,inf,inf,,inf
Teddiursa,,,,,,inf[BLACK];inf[WHITE]
Slugma,,,,,,inf
Swinub,,,,,,inf
Piloswine,inf,inf,inf,inf,,
Corsola,inf,inf,inf,inf,,inf[BLACK];inf[WHITE]
Remoraid,inf,inf,inf,inf,,inf
Octillery,inf,inf,inf,inf,,
Delibird,inf,inf,inf,inf,,inf
Mantine,inf,inf,inf,inf,,inf
Skarmory,,,inf,inf,,inf
Houndour,inf,,,,,inf
Kingdra,inf,inf,inf,inf,,
Phanpy,,,,,,inf[BLACK];inf[WHITE]
Stantler,inf,inf,,,,inf
Smeargle,inf,inf,,,,inf
Tyrogue,inf,inf,,,,inf
Smoochum,,,,,inf,inf[BLACK];inf[WHITE]
Elekid,,inf[$WF_ROBBIE],,inf,,inf
Magby,,inf[$WF_VINCENT],inf,,,inf
Miltank,,,,,,inf
Larvitar,,,,,,inf
Pupitar,inf,inf,inf,inf,,
Tyranitar,inf,inf,inf,inf,,
Lugia_ONETRANSFER,,,,,1[SOULSILVER],
Ho-Oh_ONETRANSFER,,,,,1[HEARTGOLD],
Poochyena,,inf,,,,inf
Zigzagoon,,,,,,inf
Wurmple,,inf[$WF_SILVIA],,,,inf
Lotad,,inf[$WF_COLLIN];inf[$WF_DOUG];inf[$WF_ELIZA];inf[$WF_JACQUES];inf[$WF_KARENNA];inf[$WF_MARIE];inf[$WF_MOLLY];inf[$WF_RALPH];inf[$WF_ROSA];inf[$WF_RYDER],,,,inf[BLACK];inf[WHITE]
Lombre,,,inf,inf,,
Seedot,,inf[$WF_MIHO],,,,inf
Nuzleaf,,,inf,inf,,
Shiftry,,,inf,inf,,
Taillow,,,,,,inf
Swellow,inf,inf,inf,inf,,
Wingull,inf,inf,,,,inf[BLACK];inf[WHITE]
Pelipper,inf,inf,inf,inf,,
Ralts,,inf[$WF_LENA],,,inf,inf[BLACK];inf[WHITE]
Surskit,,inf[$WF_BRITNEY];inf[$WF_DAVE];inf[$WF_GENE];inf[$WF_LEO];inf[$WF_LYNETTE];inf[$WF_MIHO];inf[$WF_MIKI];inf[$WF_PIERCE];inf[$WF_PIPER];inf[$WF_RALPH];inf[$WF_ROBBIE];inf[$WF_SHANE];inf[$WF_SILVIA],,,,inf
Masquerain,,,inf,inf,,
Shroomish,inf,,,,,inf
Breloom,,,inf,inf,,
Slakoth,,inf[$WF_KARENNA],,,,inf
Vigoroth,,,inf,inf,,
Slaking,,,inf,inf,,
Nincada,,,,,,inf
Whismur,,inf[$WF_ROSA],,,,inf
Makuhita,,,,,,inf[BLACK];inf[WHITE]
