GAME,SPECIES,IN_FORM,OUT_FORM,REQUIRED
"OMEGARUBY,ALPHASAPPHIRE",Rayquaza,,Dragon Ascent,
"OMEGARUBY,ALPHASAPPHIRE",Rayquaza,Dragon Ascent,,
CORE,Deoxys,,Attack,
CORE,Deoxys,,Defense,
CORE,Deoxys,,Speed,
CORE,Deoxys,Attack,,
CORE,Deoxys,Defense,,
CORE,Deoxys,Speed,,
CORE,Burmy,Plant Cloak,Sandy Cloak,
CORE,Burmy,Plant Cloak,Trash Cloak,
CORE,Burmy,Sandy Cloak,Plant Cloak,
CORE,Burmy,Sandy Cloak,Trash Cloak,
CORE,Burmy,Trash Cloak,Plant Cloak,
CORE,Burmy,Trash Cloak,Sandy Cloak,
CORE,Rotom,,Heat,
CORE,Rotom,,Wash,
CORE,Rotom,,Frost,
CORE,Rotom,,Fan,
CORE,Rotom,,Mow,
CORE,Rotom,Heat,,
CORE,Rotom,Wash,,
CORE,Rotom,Frost,,
CORE,Rotom,Fan,,
CORE,Rotom,Mow,,
CORE,Tornadus,Incarnate,Therian,
CORE,Tornadus,Therian,Incarnate,
CORE,Thundurus,Incarnate,Therian,
CORE,Thundurus,Therian,Incarnate,
CORE,Landorus,Incarnate,Therian,
CORE,Landorus,Therian,Incarnate,
CORE,Keldeo,,Resolute,
CORE,Keldeo,Resolute,,
