GAME,POKEMON_OR_ITEM
CORE,King's Rock
CORE,Sun Stone
"X,Y","Chespin,$START_CHESPIN;Fennekin,$START_FENNEKIN;Froakie,$START_FROAKIE"
"X,Y",Bulbasaur;Charmander;Squirtle
"X,Y",Jaw Fossil;Sail Fossil
"X,Y",Lucario
"X,Y",Lapras
"X,Y",Everstone
"X,Y",Prism Scale
"OMEGARUBY,ALPHASAPPHIRE",Treecko;Torchic;Mudkip
"OMEGARUBY,ALPHASAPPHIRE",Pikachu_FEMALE_COSPLAY_NOEVOLVE_NOBREED_NOTRANSFER
"OMEGARUBY,ALPHASAPPHIRE",Wynaut
"OMEGARUBY,ALPHASAPPHIRE",Castform
"OMEGARUBY,ALPHASAPPHIRE",Chikorita;Cyndaquil;Totodile
"OMEGARUBY,ALPHASAPPHIRE",Togepi
"OMEGARUBY,ALPHASAPPHIRE",Snivy;Tepig;Oshawott
"OMEGARUBY,ALPHASAPPHIRE",Beldum
"OMEGARUBY,ALPHASAPPHIRE",Turtwig;Chimchar;Piplup
"OMEGARUBY,ALPHASAPPHIRE",Camerupt
"OMEGARUBY,ALPHASAPPHIRE",Sharpedo
"OMEGARUBY,ALPHASAPPHIRE",Claw Fossil;Root Fossil
X,Whipped Dream
Y,Sachet
OMEGARUBY,Latios
OMEGARUBY,Clear Bell
ALPHASAPPHIRE,Latias
ALPHASAPPHIRE,Tidal Bell
