GAME,FROM,TO,ITEM,TRADE,OTHER_POKEMON
ALL,Bulbasaur,Ivysaur,,,
ALL,Ivysaur,Venusaur,,,
ALL,Charmander,Charmeleon,,,
ALL,Charmeleon,Charizard,,,
ALL,Squirtle,Wartortle,,,
ALL,Wartortle,Blastoise,,,
ALL,Caterpie,Metapod,,,
ALL,Metapod,Butterfree,,,
ALL,Weedle,Kakuna,,,
ALL,Kakuna,Beedrill,,,
ALL,Pidgey,Pidgeotto,,,
ALL,Pidgeotto,Pidgeot,,,
ALL,Rattata,Raticate,,,
ALL,Rattata_Alolan,Raticate_Alolan,,,
ALL,Spearow,Fearow,,,
ALL,Ekans,Arbok,,,
"ULTRASUN,ULTRAMOON,LETSGOPIKACHU,LETSGOEEVEE",Pikachu,Raichu,Thunder Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pikachu,Raichu_Alolan,Thunder Stone,,
ALL,Sandshrew,Sandslash,,,
ALL,Sandshrew_Alolan,Sandslash_Alolan,Ice Stone,,
ALL,Nidoran♀,Nidorina,,,
ALL,Nidorina,Nidoqueen,Moon Stone,,
ALL,Nidoran♂,Nidorino,,,
ALL,Nidorino,Nidoking,Moon Stone,,
ALL,Clefairy,Clefable,Moon Stone,,
ALL,Vulpix,Ninetales,Fire Stone,,
ALL,Vulpix_Alolan,Ninetales_Alolan,Ice Stone,,
ALL,Jigglypuff,Wigglytuff,Moon Stone,,
ALL,Zubat,Golbat,,,
ALL,Oddish,Gloom,,,
ALL,Gloom,Vileplume,Leaf Stone,,
ALL,Paras,Parasect,,,
ALL,Venonat,Venomoth,,,
ALL,Diglett,Dugtrio,,,
ALL,Diglett_Alolan,Dugtrio_Alolan,,,
ALL,Meowth,Persian,,,
ALL,Meowth_Alolan,Persian_Alolan,,,
ALL,Psyduck,Golduck,,,
ALL,Mankey,Primeape,,,
ALL,Growlithe,Arcanine,Fire Stone,,
ALL,Poliwag,Poliwhirl,,,
ALL,Poliwhirl,Poliwrath,Water Stone,,
ALL,Abra,Kadabra,,,
ALL,Kadabra,Alakazam,,TRUE,
ALL,Machop,Machoke,,,
ALL,Machoke,Machamp,,TRUE,
ALL,Bellsprout,Weepinbell,,,
ALL,Weepinbell,Victreebel,Leaf Stone,,
ALL,Tentacool,Tentacruel,,,
ALL,Geodude,Graveler,,,
ALL,Geodude_Alolan,Graveler_Alolan,,,
ALL,Graveler,Golem,,TRUE,
ALL,Graveler_Alolan,Golem_Alolan,,TRUE,
ALL,Ponyta,Rapidash,,,
ALL,Slowpoke,Slowbro,,,
ALL,Magnemite,Magneton,,,
ALL,Doduo,Dodrio,,,
ALL,Seel,Dewgong,,,
ALL,Grimer,Muk,,,
ALL,Grimer_Alolan,Muk_Alolan,,,
ALL,Shellder,Cloyster,Water Stone,,
ALL,Gastly,Haunter,,,
ALL,Haunter,Gengar,,TRUE,
ALL,Drowzee,Hypno,,,
ALL,Krabby,Kingler,,,
ALL,Voltorb,Electrode,,,
"ULTRASUN,ULTRAMOON,LETSGOPIKACHU,LETSGOEEVEE",Exeggcute,Exeggutor,Leaf Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Exeggcute,Exeggutor_Alolan,Leaf Stone,,
"ULTRASUN,ULTRAMOON,LETSGOPIKACHU,LETSGOEEVEE",Cubone,Marowak,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cubone,Marowak_Alolan,,,
ALL,Koffing,Weezing,,,
ALL,Rhyhorn,Rhydon,,,
ALL,Horsea,Seadra,,,
ALL,Goldeen,Seaking,,,
ALL,Staryu,Starmie,Water Stone,,
ALL,Magikarp,Gyarados,,,
ALL,Eevee,Vaporeon,Water Stone,,
ALL,Eevee,Jolteon,Thunder Stone,,
ALL,Eevee,Flareon,Fire Stone,,
ALL,Omanyte,Omastar,,,
ALL,Kabuto,Kabutops,,,
ALL,Dratini,Dragonair,,,
ALL,Dragonair,Dragonite,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Chikorita,Bayleef,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Bayleef,Meganium,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cyndaquil,Quilava,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Quilava,Typhlosion,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Totodile,Croconaw,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Croconaw,Feraligatr,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sentret,Furret,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Hoothoot,Noctowl,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ledyba,Ledian,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spinarak,Ariados,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Golbat,Crobat,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Chinchou,Lanturn,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pichu,Pikachu,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cleffa,Clefairy,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Igglybuff,Jigglypuff,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Togepi,Togetic,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Togepi_SHADOW,Togetic_SHADOW,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Natu,Xatu,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Mareep,Flaaffy,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Flaaffy,Ampharos,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gloom,Bellossom,Sun Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Marill,Azumarill,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Poliwhirl,Politoed,King's Rock,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Hoppip,Skiploom,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Skiploom,Jumpluff,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sunkern,Sunflora,Sun Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Wooper,Quagsire,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Eevee,Espeon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Eevee,Umbreon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Slowpoke,Slowking,King's Rock,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pineco,Forretress,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Onix,Steelix,Metal Coat,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Snubbull,Granbull,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scyther,Scizor,Metal Coat,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Teddiursa,Ursaring,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Slugma,Magcargo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Swinub,Piloswine,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Remoraid,Octillery,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Houndour,Houndoom,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Seadra,Kingdra,Dragon Scale,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Phanpy,Donphan,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Porygon,Porygon2,Upgrade,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tyrogue,Hitmonlee,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tyrogue,Hitmonchan,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tyrogue,Hitmontop,,,
