GAME,SPECIES,IN_FORM,OUT_FORM,REQUIRED,CONSUMED
"SUN,MOON,ULTRASUN,ULTRAMOON",Rayquaza,,Dragon Ascent,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rayquaza,Dragon Ascent,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deoxys,,Attack,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deoxys,,Defense,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deoxys,,Speed,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deoxys,Attack,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deoxys,Defense,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deoxys,Speed,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy,Plant Cloak,Sandy Cloak,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy,Plant Cloak,Trash Cloak,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy,Sandy Cloak,Plant Cloak,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy,Sandy Cloak,Trash Cloak,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy,Trash Cloak,Plant Cloak,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burmy,Trash Cloak,Sandy Cloak,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,,Heat,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,,Wash,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,,Frost,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,,Fan,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,,Mow,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,Heat,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,Wash,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,Frost,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,Fan,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rotom,Mow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shaymin,Land,Sky,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shaymin,Sky,Land,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tornadus,Incarnate,Therian,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tornadus,Therian,Incarnate,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Thundurus,Incarnate,Therian,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Thundurus,Therian,Incarnate,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Landorus,Incarnate,Therian,,
