GAME,POKEMON_OR_ITEM,REQUIRED
CORE,Blastoisinite,
CORE,Charizardite X,
CORE,Charizardite Y,
CORE,Venusaurite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rowlet;Litten;Popplio,
"SUN,MOON,ULTRASUN,ULTRAMOON",Eevee_EGG,
"SUN,MOON,ULTRASUN,ULTRAMOON",Porygon,
"SUN,MOON,ULTRASUN,ULTRAMOON",Aerodactyl,
"SUN,MOON,ULTRASUN,ULTRAMOON","Type: Null,Bug Memory,Dark Memory,Dragon Memory,Electric Memory,Fairy Memory,Fighting Memory,Fire Memory,Flying Memory,Ghost Memory,Grass Memory,Ground Memory,Ice Memory,Poison Memory,Psychic Memory,Rock Memory,Steel Memory,Water Memory",
"SUN,MOON,ULTRASUN,ULTRAMOON",Magearna,
"SUN,MOON,ULTRASUN,ULTRAMOON",Alakazite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Blue Orb,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burn Drive,
"SUN,MOON,ULTRASUN,ULTRAMOON",Chill Drive,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dawn Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",DNA Splicers,
"SUN,MOON,ULTRASUN,ULTRAMOON",Douse Drive,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Scale,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dread Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dubious Disc,
"SUN,MOON,ULTRASUN,ULTRAMOON",Electirizer,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fist Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gracidea,
"SUN,MOON,ULTRASUN,ULTRAMOON",Griseous Orb,
"SUN,MOON,ULTRASUN,ULTRAMOON",Iron Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock,
"SUN,MOON,ULTRASUN,ULTRAMOON",Magmarizer,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pixie Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Prison Bottle,
"SUN,MOON,ULTRASUN,ULTRAMOON",Protector,
"SUN,MOON,ULTRASUN,ULTRAMOON",Reaper Cloth,
"SUN,MOON,ULTRASUN,ULTRAMOON",Red Orb,
"SUN,MOON,ULTRASUN,ULTRAMOON",Reveal Glass,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sachet,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shock Drive,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sky Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Splash Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Stone Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Upgrade,
"SUN,MOON,ULTRASUN,ULTRAMOON",Whipped Dream,
"SUN,MOON,ULTRASUN,ULTRAMOON",Zap Plate,
"SUN.JPN,MOON.JPN,ULTRASUN.JPN,ULTRAMOON.JPN",$LOC_CONTINENTAL;$LOC_ELEGANT;$LOC_MONSOON;$LOC_TUNDRA,
"SUN.USA,MOON.USA,ULTRASUN.USA,ULTRAMOON.USA",$LOC_ARCHIPELAGO;$LOC_CONTINENTAL;$LOC_HIGHPLAINS;$LOC_ICYSNOW;$LOC_JUNGLE;$LOC_MARINE;$LOC_MODERN;$LOC_OCEAN;$LOC_POLAR;$LOC_SANDSTORM;$LOC_SAVANNA;$LOC_SUN
"SUN.EUR,MOON.EUR,ULTRASUN.EUR,ULTRAMOON.EUR",$LOC_ARCHIPELAGO;$LOC_CONTINENTAL;$LOC_GARDEN;$LOC_HIGHPLAINS;$LOC_ICYSNOW;$LOC_JUNGLE;$LOC_MARINE;$LOC_MEADOW;$LOC_MONSOON;$LOC_OCEAN;$LOC_POLAR;$LOC_RIVER;$LOC_SANDSTORM;$LOC_SUN;$LOC_TUNDRA
"SUN.KOR,MOON.KOR,ULTRASUN.KOR,ULTRAMOON.KOR",$LOC_CONTINENTAL,
"SUN.TWN,MOON.TWN,ULTRASUN.TWN,ULTRAMOON.TWN",$LOC_CONTINENTAL;$LOC_MONSOON,
"SUN.CHN,MOON.CHN,ULTRASUN.CHN,ULTRAMOON.CHN",$LOC_CONTINENTAL;$LOC_HIGHPLAINS;$LOC_MONSOON;$LOC_POLAR
"SUN,MOON",Greninja_Battle Bond,SM_DEMO
"SUN,MOON",Everstone,
"SUN,MOON",Zygarde Cube,
"SUN,MOON",$ZCELLS0,
"SUN,ULTRASUN",Cosmog,Solgaleo
"SUN,ULTRASUN",Cover Fossil,
"SUN,ULTRASUN",Shiny Stone,
"SUN,ULTRASUN",Skull Fossil,
"SUN,ULTRASUN",Sun Stone,Solrock
"MOON,ULTRAMOON",Cosmog,Lunala
"MOON,ULTRAMOON",Armor Fossil,
"MOON,ULTRAMOON",Dusk Stone,
"MOON,ULTRAMOON",Moon Stone,Lunatone
"MOON,ULTRAMOON",Plume Fossil,
"ULTRASUN,ULTRAMOON",Pikachu,
"ULTRASUN,ULTRAMOON",Pikachu_Partner Cap,
"ULTRASUN,ULTRAMOON","Zygarde_10%,Zygarde Cube,$ZCELLS40",Zygarde_50%
"ULTRASUN,ULTRAMOON",Mimikyu_Disguised Totem,
"ULTRASUN,ULTRAMOON",Poipole,
"ULTRASUN,ULTRAMOON",Deep Sea Scale,
"ULTRASUN,ULTRAMOON",Deep Sea Tooth,
"ULTRASUN,ULTRAMOON",Diancite,Diancie
"ULTRASUN,ULTRAMOON",Fire Stone;Thunder Stone;Water Stone,Eevee_EGG
"ULTRASUN,ULTRAMOON","N-Lunarizer,N-Solarizer",Necrozma
"ULTRASUN,ULTRAMOON",Razor Claw,
"ULTRASUN,ULTRAMOON",Rose Incense,
"LETSGOPIKACHU,LETSGOEEVEE",Magikarp,
"LETSGOPIKACHU,LETSGOEEVEE",Bulbasaur,
"LETSGOPIKACHU,LETSGOEEVEE",Charmander,
"LETSGOPIKACHU,LETSGOEEVEE",Squirtle,
"LETSGOPIKACHU,LETSGOEEVEE",Hitmonlee;Hitmonchan,
"LETSGOPIKACHU,LETSGOEEVEE",Lapras,
"LETSGOPIKACHU,LETSGOEEVEE",Porygon,
"LETSGOPIKACHU,LETSGOEEVEE",Dome Fossil;Helix Fossil
"LETSGOPIKACHU,LETSGOEEVEE",Gengarite,
"LETSGOPIKACHU,LETSGOEEVEE",Gyaradosite,
"LETSGOPIKACHU,LETSGOEEVEE",Kangaskhanite,
"LETSGOPIKACHU,LETSGOEEVEE",Mewtwonite X,
"LETSGOPIKACHU,LETSGOEEVEE",Mewtwonite Y,
"LETSGOPIKACHU,LETSGOEEVEE",Old Amber,
"LETSGOPIKACHU,LETSGOEEVEE",Pidgeotite,
"LETSGOPIKACHU,LETSGOEEVEE",Pinsirite,
"LETSGOPIKACHU,LETSGOEEVEE",Slowbronite,
ULTRASUN,Gumshoos_Totem,
ULTRASUN,Marowak_Alolan Totem,
ULTRASUN,Lurantis_Totem,
ULTRASUN,Vikavolt_Totem,
ULTRASUN,Ribombee_Totem,
ULTRASUN,Claw Fossil,
ULTRASUN,Helix Fossil,
ULTRASUN,Jaw Fossil
ULTRAMOON,Raticate_Alolan Totem,
ULTRAMOON,Araquanid_Totem,
ULTRAMOON,Salazzle_Totem,
ULTRAMOON,Togedemaru_Totem,
ULTRAMOON,Kommo-o_Totem,
ULTRAMOON,Dome Fossil,
ULTRAMOON,Root Fossil,
ULTRAMOON,Sail Fossil,
LETSGOPIKACHU,Pikachu_Partner_NOTRANSFER,
LETSGOPIKACHU,Persian,Growlithe
LETSGOEEVEE,Eevee_Partner_NOTRANSFER,
LETSGOEEVEE,Arcanine,Meowth
