GAME,ITEM,KEY
"SUN,MOON,ULTRASUN,ULTRAMOON",Abomasite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Absolite,
CORE,Aerodactylite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Aggronite,
CORE,Alakazite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Altarianite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ampharosite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Armor Fossil,
"SUN,MOON,ULTRASUN,ULTRAMOON",Audinite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Banettite,
CORE,Beedrillite,
CORE,Blastoisinite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Blazikenite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Blue Orb,
"SUN,MOON,ULTRASUN,ULTRAMOON",Bug Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Burn Drive,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cameruptite,
CORE,Charizardite X,
CORE,Charizardite Y,
"SUN,MOON,ULTRASUN,ULTRAMOON",Chill Drive,
"SUN,MOON,ULTRASUN,ULTRAMOON",Claw Fossil,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cover Fossil,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dark Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dawn Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Scale,
"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Tooth,
"SUN,MOON,ULTRASUN,ULTRAMOON",Diancite,
"SUN,MOON,ULTRASUN,ULTRAMOON",DNA Splicers,TRUE
CORE,Dome Fossil,
"SUN,MOON,ULTRASUN,ULTRAMOON",Douse Drive,
"SUN,MOON,ULTRASUN,ULTRAMOON",Draco Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Scale,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dread Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dubious Disc,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dusk Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Earth Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Electirizer,
"SUN,MOON,ULTRASUN,ULTRAMOON",Electric Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Everstone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fairy Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fighting Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fire Memory,
CORE,Fire Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fist Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Flame Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Flying Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Full Incense,
"SUN,MOON,ULTRASUN,ULTRAMOON",Galladite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Garchompite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gardevoirite,
CORE,Gengarite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ghost Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Glalitite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Gracidea,TRUE
"SUN,MOON,ULTRASUN,ULTRAMOON",Grass Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Griseous Orb,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ground Memory,
CORE,Gyaradosite,
CORE,Helix Fossil,
"SUN,MOON,ULTRASUN,ULTRAMOON",Heracronite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Houndoominite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ice Memory,
CORE,Ice Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Icicle Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Insect Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Iron Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Jaw Fossil,
CORE,Kangaskhanite,
"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock,
"SUN,MOON,ULTRASUN,ULTRAMOON",Latiasite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Latiosite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lax Incense,
CORE,Leaf Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lopunnite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Lucarionite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Luck Incense,
"SUN,MOON,ULTRASUN,ULTRAMOON",Magmarizer,
"SUN,MOON,ULTRASUN,ULTRAMOON",Manectite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Mawilite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Meadow Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Medichamite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Metagrossite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat,
CORE,Mewtwonite X,
CORE,Mewtwonite Y,
"SUN,MOON,ULTRASUN,ULTRAMOON",Mind Plate,
CORE,Moon Stone,
"ULTRASUN,ULTRAMOON",N-Lunarizer,TRUE
"ULTRASUN,ULTRAMOON",N-Solarizer,TRUE
"SUN,MOON,ULTRASUN,ULTRAMOON",Odd Incense,
CORE,Old Amber,
"SUN,MOON,ULTRASUN,ULTRAMOON",Oval Stone,
CORE,Pidgeotite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pink Nectar,
CORE,Pinsirite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pixie Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Plume Fossil,
"SUN,MOON,ULTRASUN,ULTRAMOON",Poison Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Prism Scale,
"SUN,MOON,ULTRASUN,ULTRAMOON",Prison Bottle,TRUE
"SUN,MOON,ULTRASUN,ULTRAMOON",Protector,
"SUN,MOON,ULTRASUN,ULTRAMOON",Psychic Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pure Incense,
"SUN,MOON,ULTRASUN,ULTRAMOON",Purple Nectar,
"SUN,MOON,ULTRASUN,ULTRAMOON",Razor Claw,
"SUN,MOON,ULTRASUN,ULTRAMOON",Razor Fang,
"SUN,MOON,ULTRASUN,ULTRAMOON",Reaper Cloth,
"SUN,MOON,ULTRASUN,ULTRAMOON",Red Nectar,
"SUN,MOON,ULTRASUN,ULTRAMOON",Red Orb,
"SUN,MOON,ULTRASUN,ULTRAMOON",Reveal Glass,TRUE
"SUN,MOON,ULTRASUN,ULTRAMOON",Rock Incense,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rock Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Root Fossil,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rose Incense,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sablenite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sachet,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sail Fossil,
"SUN,MOON,ULTRASUN,ULTRAMOON",Salamencite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sceptilite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scizorite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sea Incense,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sharpedonite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shiny Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Shock Drive,
"SUN,MOON,ULTRASUN,ULTRAMOON",Skull Fossil,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sky Plate,
CORE,Slowbronite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Splash Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spooky Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Steel Memory,
"SUN,MOON,ULTRASUN,ULTRAMOON",Steelixite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Stone Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sun Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Swampertite,
CORE,Thunder Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Toxic Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tyranitarite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Upgrade,
CORE,Venusaurite,
"SUN,MOON,ULTRASUN,ULTRAMOON",Water Memory,
CORE,Water Stone,
"SUN,MOON,ULTRASUN,ULTRAMOON",Wave Incense,
"SUN,MOON,ULTRASUN,ULTRAMOON",Whipped Dream,
"SUN,MOON,ULTRASUN,ULTRAMOON",Yellow Nectar,
"SUN,MOON,ULTRASUN,ULTRAMOON",Zap Plate,
"SUN,MOON,ULTRASUN,ULTRAMOON",Zygarde Cube,TRUE
