GAME,CONSUMED,REQUIRED,OUTPUT,REPEATS
"SUN,MOON",$ZCELLS0,,$ZCELLS10,1
"SUN,MOON",$ZCELLS10,,$ZCELLS20,1
"SUN,MOON",$ZCELLS20,,$ZCELLS30,1
"SUN,MOON",$ZCELLS30,,$ZCELLS40,1
"SUN,MOON",$ZCELLS40,,$ZCELLS50,1
"SUN,MOON",$ZCELLS50,,$ZCELLS60,1
"SUN,MOON",$ZCELLS60,,$ZCELLS70,1
"SUN,MOON",$ZCELLS70,,$ZCELLS80,1
"SUN,MOON",$ZCELLS80,,$ZCELLS90,1
"SUN,MOON",$ZCELLS90,,$ZCELLS100,1
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS10,,"Zygarde_10%,$ZCELLS0",inf
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS20,,"Zygarde_10%,$ZCELLS10",inf
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS30,,"Zygarde_10%,$ZCELLS20",inf
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS40,,"Zygarde_10%,$ZCELLS30",inf
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS50,,"Zygarde_50%,$ZCELLS0",inf
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS60,,"Zygarde_50%,$ZCELLS10",inf
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS70,,"Zygarde_50%,$ZCELLS20",inf
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS80,,"Zygarde_50%,$ZCELLS30",inf
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS90,,"Zygarde_50%,$ZCELLS40",inf
"SUN,MOON,ULTRASUN,ULTRAMOON",$ZCELLS100,,"Zygarde_50% Power Construct,$ZCELLS0",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS40",,"Zygarde_50%,$ZCELLS0",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS50",,"Zygarde_50%,$ZCELLS10",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS60",,"Zygarde_50%,$ZCELLS20",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS70",,"Zygarde_50%,$ZCELLS30",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS80",,"Zygarde_50%,$ZCELLS40",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS90",,"Zygarde_50%,$ZCELLS50",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS100",,"Zygarde_50%,$ZCELLS60",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS50",,"Zygarde_50% Power Construct,$ZCELLS0",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS60",,"Zygarde_50% Power Construct,$ZCELLS10",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS70",,"Zygarde_50% Power Construct,$ZCELLS20",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS80",,"Zygarde_50% Power Construct,$ZCELLS30",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS90",,"Zygarde_50% Power Construct,$ZCELLS40",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS100",,"Zygarde_50% Power Construct,$ZCELLS50",inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS0",,$ZCELLS10,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS10",,$ZCELLS20,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS20",,$ZCELLS30,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS30",,$ZCELLS40,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS40",,$ZCELLS50,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS50",,$ZCELLS60,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS60",,$ZCELLS70,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS70",,$ZCELLS80,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS80",,$ZCELLS90,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10%,$ZCELLS90",,$ZCELLS100,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS0",,$ZCELLS50,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS10",,$ZCELLS60,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS20",,$ZCELLS70,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS30",,$ZCELLS80,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS40",,$ZCELLS90,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50%,$ZCELLS50",,$ZCELLS100,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_50% Power Construct,$ZCELLS0",,$ZCELLS100,inf
"SUN,MOON,ULTRASUN,ULTRAMOON","Zygarde_10% Power Construct,$ZCELLS0",,$ZCELLS100,inf
