SPECIES,SUN,MOON,ULTRASUN,ULTRAMOON,LETSGOPIKACHU,LETSGOEEVEE
Bulbasaur,,,inf,inf,inf,inf
Charmander,,,inf,inf,inf,inf
Charizard,,,,,inf,inf
Squirtle,,,inf,inf,inf,inf
Caterpie,inf,inf,inf,inf,inf,inf
Metapod,inf,inf,inf,inf,inf,inf
Butterfree,inf,inf,inf,inf,inf,
Weedle,,,,,inf,inf
Kakuna,,,,,inf,inf
Beedrill,,,inf,inf,,inf
Pidgey,,,,,inf,inf
Pidgeotto,,,,,inf,inf
Pidgeot,,,inf,inf,inf,inf
Rattata,,,,,inf,inf
Rattata_Alolan,inf,inf,inf,inf,,
Raticate,,,,,inf,inf
Raticate_Alolan,inf,inf,inf,inf,,
Spearow,inf,inf,inf,inf,inf,inf
Fearow,inf,inf,inf,inf,inf,inf
Ekans,,,inf,inf,,inf
Arbok,,,,,,inf
Pikachu,inf,inf,inf,inf,inf,inf
Sandshrew,,,,,inf,
Sandshrew_Alolan,,inf,,inf,,
Nidoran♀,,,,,inf,inf
Nidorina,,,,,inf,inf
Nidoqueen,,,,,inf,inf
Nidoran♂,,,,,inf,inf
Nidorino,,,,,inf,inf
Nidoking,,,,,inf,inf
Clefairy,inf,inf,inf,inf,inf,inf
Clefable,,,,,inf,inf
Vulpix,,,,,,inf
Vulpix_Alolan,inf,,inf,,,
Ninetales,,,,,,inf
Jigglypuff,inf,inf,inf,inf,inf,inf
Zubat,inf,inf,inf,inf,inf,inf
Golbat,inf,inf,inf,inf,inf,inf
Oddish,,,,,inf,
Gloom,,,,,inf,
Vileplume,,,,,inf,
Paras,inf,inf,inf,inf,inf,inf
Parasect,,,inf,inf,,
Venonat,,,,,inf,inf
Venomoth,,,,,inf,inf
Diglett,,,,,inf,inf
Diglett_Alolan,inf,inf,inf,inf,,
Dugtrio,,,,,inf,inf
Dugtrio_Alolan,inf,inf,inf,inf,,
Meowth,,,,,,inf
Meowth_Alolan,inf,inf,inf,inf,,
Persian_Alolan,,,inf,inf,,
Psyduck,inf,inf,inf,inf,inf,inf
Golduck,inf,inf,inf,inf,inf,inf
Mankey,inf,inf,inf,inf,inf,
Primeape,inf,inf,inf,inf,,
Growlithe,inf,inf,inf,inf,inf,
Arcanine,,,,,inf,
Poliwag,inf,inf,inf,inf,inf,inf
Poliwhirl,inf,inf,inf,inf,inf,inf
Poliwrath,inf,inf,inf,inf,inf,inf
Abra,inf,inf,inf,inf,inf,inf
Kadabra,inf,inf,,,inf,inf
Machop,inf,inf,inf,inf,inf,inf
Machoke,inf,inf,inf,inf,inf,inf
Bellsprout,inf,inf,,,,inf
Weepinbell,,,,,,inf
Victreebel,,,,,,inf
Tentacool,inf,inf,inf,inf,inf,inf
Tentacruel,inf,inf,inf,inf,inf,inf
Geodude,,,,,inf,inf
Geodude_Alolan,inf,inf,,,,
Graveler,,,,,inf,inf
Graveler_Alolan,inf,inf,inf,inf,,
Ponyta,,,,,inf,inf
Rapidash,,,,,inf,inf
Slowpoke,inf,inf,inf,inf,inf,inf
Slowbro,inf,inf,inf,inf,inf,inf
Magnemite,inf,inf,inf,inf,inf,inf
Magneton,,,,,inf,inf
Farfetch'd,,,,,inf,inf
Doduo,,,,,inf,inf
Dodrio,,,,,inf,inf
Seel,,,inf,inf,inf,inf
Dewgong,,,,,inf,inf
Grimer,,,,,inf,
Grimer_Alolan,inf,inf,inf,inf,,
Muk,,,,,inf,
Shellder,inf,inf,inf,inf,inf,inf
Cloyster,,,,,inf,inf
Gastly,inf,inf,inf,inf,inf,inf
Haunter,inf,inf,inf,inf,inf,inf
Gengar,inf,inf,inf,inf,,
Onix,,,inf,inf,inf,inf
Drowzee,inf,inf,inf,inf,inf,inf
Hypno,inf,inf,inf,inf,,
