GAME,PARENT,CHILD,ITEM
ALL,Bulbasaur,Bulbasaur,
ALL,Ivysaur,Bulbasaur,
ALL,Venusaur,Bulbasaur,
ALL,Charmander,Charmander,
ALL,Charmeleon,Charmander,
ALL,Charizard,Charmander,
ALL,Squirtle,Squirtle,
ALL,Wartortle,Squirtle,
ALL,Blastoise,Squirtle,
ALL,Caterpie,Caterpie,
ALL,Metapod,Caterpie,
ALL,Butterfree,Caterpie,
"BRILLIANTDIAMOND,SHININGPEARL",Weedle,Weedle,
"BRILLIANTDIAMOND,SHININGPEARL",Kakuna,Weedle,
"BRILLIANTDIAMOND,SHININGPEARL",Beedrill,Weedle,
"BRILLIANTDIAMOND,SHININGPEARL",Pidgey,Pidgey,
"BRILLIANTDIAMOND,SHININGPEARL",Pidgeotto,Pidgey,
"BRILLIANTDIAMOND,SHININGPEARL",Pidgeot,Pidgey,
"BRILLIANTDIAMOND,SHININGPEARL",Rattata,Rattata,
NONE,Rattata_Alolan,Rattata,
NONE,Rattata_Alolan,Rattata_Alolan,Everstone
"BRILLIANTDIAMOND,SHININGPEARL",Raticate,Rattata,
NONE,Raticate_Alolan,Rattata,
NONE,Raticate_Alolan,Rattata_Alolan,Everstone
"BRILLIANTDIAMOND,SHININGPEARL",Spearow,Spearow,
"BRILLIANTDIAMOND,SHININGPEARL",Fearow,Spearow,
"BRILLIANTDIAMOND,SHININGPEARL",Ekans,Ekans,
"BRILLIANTDIAMOND,SHININGPEARL",Arbok,Ekans,
ALL,Pikachu,Pichu,
ALL,Raichu,Pichu,
"SWORD,SHIELD",Raichu_Alolan,Pichu
ALL,Sandshrew,Sandshrew,
"SWORD,SHIELD",Sandshrew_Alolan,Sandshrew,
"SWORD,SHIELD",Sandshrew_Alolan,Sandshrew_Alolan,Everstone
ALL,Sandslash,Sandshrew,
"SWORD,SHIELD",Sandslash_Alolan,Sandshrew,
"SWORD,SHIELD",Sandslash_Alolan,Sandshrew_Alolan,Everstone
ALL,Nidoran♀,Nidoran♀,
ALL,Nidoran♀,Nidoran♂,
ALL,Nidoran♂,Nidoran♀,
ALL,Nidoran♂,Nidoran♂,
ALL,Nidorino,Nidoran♀,
ALL,Nidorino,Nidoran♂,
ALL,Nidoking,Nidoran♀,
ALL,Nidoking,Nidoran♂,
ALL,Clefairy,Cleffa,
ALL,Clefable,Cleffa,
ALL,Vulpix,Vulpix,
"SWORD,SHIELD",Vulpix_Alolan,Vulpix,Everstone
"SWORD,SHIELD",Vulpix_Alolan,Vulpix_Alolan,Everstone
ALL,Ninetales,Vulpix,
"SWORD,SHIELD",Ninetales_Alolan,Vulpix,
"SWORD,SHIELD",Ninetales_Alolan,Vulpix_Alolan,Everstone
ALL,Jigglypuff,Igglybuff,
ALL,Wigglytuff,Igglybuff,
ALL,Zubat,Zubat,
ALL,Golbat,Zubat,
ALL,Oddish,Oddish,
