GAME,POKEMON_OR_ITEM,REQUIRED
"BRILLIANTDIAMOND,SHININGPEARL",Ability Patch,
"SWORD,SHIELD",Ability Patch,$CROWNTUNDRA
"SWORD,SHIELD",Berry Sweet,
LEGENDSARCEUS,Black Augurite,
"SWORD,SHIELD",Chipped Pot,
"SWORD,SHIELD",Clover Sweet,
"SWORD,SHIELD",Cracked Pot,
"SWORD,SHIELD",Dubious Disc,$ISLEOFARMOR
"BRILLIANTDIAMOND,SHININGPEARL",Dubious Disc,
"SWORD,SHIELD,LEGENDSARCEUS",Electirizer,$CROWNTUNDRA
"SWORD,SHIELD",Flower Sweet,
"SWORD,SHIELD",Fossilized Bird,
"SWORD,SHIELD",Fossilized Dino,
"SWORD,SHIELD",Fossilized Drake,
"SWORD,SHIELD",Fossilized Fish,
"SWORD,SHIELD",Galarica Cuff,$ISLEOFARMOR
"SWORD,SHIELD",Galarica Wreath,$CROWNTUNDRA
"SWORD,SHIELD",Love Sweet,
"SWORD,SHIELD,LEGENDSARCEUS",Magmarizer,$CROWNTUNDRA
ALL,Protector,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Razor Fang,
"SWORD,SHIELD",Ribbon Sweet,$ISLEOFARMOR
"SWORD,SHIELD",Sachet,
"SWORD,SHIELD",Star Sweet,$ISLEOFARMOR
"SWORD,SHIELD",Strawberry Sweet,
"SWORD,SHIELD",Upgrade,$ISLEOFARMOR
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Upgrade,
"SWORD,SHIELD",Whipped Dream,
