GAME,FROM,TO,ITEM,TRADE,OTHER_POKEMON,REQUIRED
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Bulbasaur,Ivysaur,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Ivysaur,Venusaur,,,,
"SWORD,SHIELD",Venusaur,Venusaur_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Charmander,Charmeleon,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Charmeleon,Charizard,,,,
"SWORD,SHIELD",Charizard,Charizard_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Squirtle,Wartortle,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Wartortle,Blastoise,,,,
"SWORD,SHIELD",Blastoise,Blastoise_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Caterpie,Metapod,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Metapod,Butterfree,,,,
"SWORD,SHIELD",Butterfree,Butterfree_GMAX,,,,$ISLEOFARMOR
"BRILLIANTDIAMOND,SHININGPEARL",Weedle,Kakuna,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Kakuna,Beedrill,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Pidgey,Pidgeotto,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Pidgeotto,Pidgeot,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Rattata,Raticate,,,,
NONE,Rattata_Alolan,Raticate_Alolan,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Spearow,Fearow,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Ekans,Arbok,,,,
"SWORD,SHIELD",Pikachu,Pikachu_GMAX,,,,$ISLEOFARMOR
ALL,Pikachu,Raichu,Thunder Stone,,,
NONE,Pikachu,Raichu_Alolan,Thunder Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Sandshrew,Sandslash,,,,
"SWORD,SHIELD",Sandshrew_Alolan,Sandslash_Alolan,Ice Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Nidoran♀,Nidorina,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Nidorina,Nidoqueen,Moon Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Nidoran♂,Nidorino,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Nidorino,Nidoking,Moon Stone,,,
ALL,Clefairy,Clefable,Moon Stone,,,
ALL,Vulpix,Ninetales,Fire Stone,,,
"SWORD,SHIELD,LEGENDSARCEUS",Vulpix_Alolan,Ninetales_Alolan,Ice Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Jigglypuff,Wigglytuff,Moon Stone,,,
ALL,Zubat,Golbat,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Oddish,Gloom,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Gloom,Vileplume,Leaf Stone,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Paras,Parasect,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Venonat,Venomoth,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Diglett,Dugtrio,,,,
"SWORD,SHIELD",Diglett_Alolan,Dugtrio_Alolan,,,,
"SWORD,SHIELD",Meowth,Meowth_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Meowth,Persian,,,,
"SWORD,SHIELD",Meowth_Alolan,Persian_Alolan,,,,
ALL,Psyduck,Golduck,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Mankey,Primeape,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Growlithe,Arcanine,Fire Stone,,,
LEGENDSARCEUS,Growlithe_Hisuian,Arcanine_Hisuian,Fire Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Poliwag,Poliwhirl,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Poliwhirl,Poliwrath,Water Stone,,,
ALL,Abra,Kadabra,,,,
ALL,Kadabra,Alakazam,,TRUE,,
LEGENDSARCEUS,Kadabra,Alakazam,Link Cord,,,
ALL,Machop,Machoke,,,,
ALL,Machoke,Machamp,,TRUE,,
LEGENDSARCEUS,Machoke,Machamp,Link Cord,,,
"SWORD,SHIELD",Machamp,Machamp_GMAX,,,,$ISLEOFARMOR
"BRILLIANTDIAMOND,SHININGPEARL",Bellsprout,Weepinbell,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Weepinbell,Victreebel,Leaf Stone,,,
ALL,Tentacool,Tentacruel,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Geodude,Graveler,,,,
NONE,Geodude_Alolan,Graveler_Alolan,,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Graveler,Golem,,TRUE,,
LEGENDSARCEUS,Graveler,Golem,Linking Cord,,,
NONE,Graveler_Alolan,Golem_Alolan,,TRUE,,
ALL,Ponyta,Rapidash,,,,
"SWORD,SHIELD",Ponyta_Galarian,Rapidash_Galarian,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Slowpoke,Slowbro,,,,
"SWORD,SHIELD",Slowpoke_Galarian,Slowbro_Galarian,Galarica Cuff,,,
ALL,Magnemite,Magneton,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Doduo,Dodrio,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Seel,Dewgong,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Grimer,Muk,,,,
NONE,Grimer_Alolan,Muk_Alolan,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Shellder,Cloyster,Water Stone,,,
ALL,Gastly,Haunter,,,,
ALL,Haunter,Gengar,,TRUE,,
LEGENDSARCEUS,Haunter,Gengar,Link Cord,,,
"SWORD,SHIELD",Gengar,Gengar_GMAX,,,,$ISLEOFARMOR
"BRILLIANTDIAMOND,SHININGPEARL",Drowzee,Hypno,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Krabby,Kingler,,,,
"SWORD,SHIELD",Kingler,Kingler_GMAX,,,,$ISLEOFARMOR
"BRILLIANTDIAMOND,SHININGPEARL",Voltorb,Electrode,,,,
LEGENDSARCEUS,Voltorb_Hisuian,Electrode_Hisuian,Leaf Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Exeggcute,Exeggutor,Leaf Stone,,,
NONE,Exeggcute,Exeggutor_Alolan,Leaf Stone,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Cubone,Marowak,,,,
NONE,Cubone,Marowak_Alolan,,,,
"BRILLIANTDIAMOND,SHININGPEARL",Koffing,Weezing,,,,
"SWORD,SHIELD",Koffing,Weezing_Galarian,,,,
ALL,Rhyhorn,Rhydon,,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Horsea,Seadra,,,,
