SPECIES,SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS
Bulbasaur,,,inf,inf,
Ivysaur,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Venusaur,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Venusaur_GMAX,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Charmander,inf,inf,inf,inf,
Charmeleon,inf,inf,,,
Charizard,inf,inf,,,
Charizard_GMAX,inf,inf,,,
Squirtle,,,inf,inf,
Wartortle,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Blastoise,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Blastoise_GMAX,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Caterpie,inf,inf,inf,,
Metapod,inf,inf,,,
Butterfree,inf,inf,,,
Butterfree_GMAX,inf,inf,,,
Weedle,,,,inf,
Pidgey,,,inf,inf,
Rattata,,,inf,inf,
Raticate,,,inf,inf,
Spearow,,,inf,inf,
Fearow,,,inf,inf,
Ekans,,,inf,,
Pikachu,inf,inf,inf,inf,inf
Raichu,inf,inf,,,inf
Sandshrew,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,inf,
Sandslash,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,inf,
Nidoran♀,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Nidorina,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Nidoqueen,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Nidoran♂,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Nidorino,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,
Nidoking,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Clefairy,inf,inf,inf,inf,inf
Clefable,inf,inf,,,inf
Vulpix,inf,inf,,inf,inf
Ninetales,inf,inf,,,inf
Jigglypuff,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Wigglytuff,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Zubat,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,inf
Golbat,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],inf,inf,inf
Oddish,inf,inf,inf,inf,
Gloom,inf,inf,inf,inf,
Vileplume,inf,inf,,,
Paras,,,inf,inf,inf
Parasect,,,,,inf
Venonat,,,inf,inf,
Venomoth,,,inf,inf,
Diglett,inf,inf,inf,inf,
Dugtrio,inf,inf,inf,inf,
Dugtrio_Alolan,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Meowth,,,inf,inf,
Meowth_Galarian,inf,inf,,,
Persian,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Persian_Alolan,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Psyduck,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Golduck,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Mankey,,,inf,inf,
Primeape,,,inf,inf,
Growlithe,inf,inf,inf,,
Growlithe_Hisuian,,,,,inf
Arcanine,inf,inf,,,
Arcanine_Hisuian,,,,,inf
Poliwag,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Poliwhirl,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Poliwrath,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Abra,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Kadabra,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Alakazam,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,inf
Machop,inf,inf,inf,inf,inf
Machoke,inf,inf,inf,inf,inf
Machamp,inf,inf,,,inf
Machamp_GMAX,inf,inf[$INTERNET],,,
Bellsprout,,,inf,inf,
Weepinbell,,,inf,inf,
Tentacool,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Tentacruel,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Geodude,,,inf,inf,inf
Graveler,,,inf,inf,inf
Golem,,,,,inf
Ponyta,,,inf,inf,inf
Ponyta_Galarian,,inf,,,
Rapidash,,,,,inf
Rapidash_Galarian,,inf,,,
Slowpoke,,,,inf,
Slowpoke_Galarian,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Slowbro,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Magnemite,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Magneton,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,inf
Farfetch'd,,,inf,inf,
Farfetch'd_Galarian,inf,,,,
Doduo,,,inf,inf,
Seel,,,inf,,
Dewgong,,,inf,,
Grimer,,,inf,inf,
Shellder,inf,inf,inf,inf,
Cloyster,inf,inf,,,
Gastly,inf,inf,inf,inf,inf
Haunter,inf,inf,inf,inf,inf
Gengar,inf,inf,,,inf
Gengar_GMAX,inf[$INTERNET],inf,,,
Onix,inf,inf,inf,inf,inf
Drowzee,,,inf,inf,
Krabby,inf,inf,inf,inf,
Kingler,inf,inf,,,
Kingler_GMAX,inf,inf,,,
Voltorb,,,inf,inf,
Voltorb_Hisuian,,,,,inf
Electrode_Hisuian,,,,,inf
Exeggcute,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
Exeggutor,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Cubone,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,
