SPECIES,GAME,ITEM
Clefairy,CORE,Moon Stone
Clefable,CORE,Moon Stone
Jigglypuff,CORE,Moon Stone
Wigglytuff,CORE,Moon Stone
Poliwhirl,CORE,King's Rock
Poliwrath,CORE,King's Rock
Geodude,"BRILLIANTDIAMOND,SHININGPEARL",Everstone
Graveler,"BRILLIANTDIAMOND,SHININGPEARL",Everstone
Golem,"BRILLIANTDIAMOND,SHININGPEARL",Everstone
Slowbro,CORE,King's Rock
Magnemite,CORE,Metal Coat
Magneton,CORE,Metal Coat
Horsea,CORE,Dragon Scale
Seadra,CORE,Dragon Scale
Electabuzz,CORE,Electirizer
Magmar,CORE,Magmarizer
Dratini,CORE,Dragon Scale
Dragonair,CORE,Dragon Scale
Dragonite,CORE,Dragon Scale
Cleffa,CORE,Moon Stone
Politoed,CORE,King's Rock
Slowking,CORE,King's Rock
Steelix,CORE,Metal Coat
Skarmory,CORE,Metal Coat
Kingdra,CORE,Dragon Scale
Elekid,CORE,Electirizer
Magby,CORE,Magmarizer
Hariyama,CORE,King's Rock
Carvanha,"BRILLIANTDIAMOND,SHININGPEARL",Deep Sea Tooth
Sharpedo,"BRILLIANTDIAMOND,SHININGPEARL",Deep Sea Tooth
Lunatone,CORE,Moon Stone
Solrock,CORE,Sun Stone
Huntail,"BRILLIANTDIAMOND,SHININGPEARL",Deep Sea Tooth
Gorebyss,"BRILLIANTDIAMOND,SHININGPEARL",Deep Sea Scale
Relicanth,"BRILLIANTDIAMOND,SHININGPEARL",Deep Sea Scale
Beldum,CORE,Metal Coat
Metang,CORE,Metal Coat
Metagross,CORE,Metal Coat
Bronzor,CORE,Metal Coat
Bronzong,CORE,Metal Coat
Happiny,CORE,Oval Stone
Magnezone,CORE,Metal Coat
Electivire,CORE,Electirizer
Magmortar,CORE,Magmarizer
Roggenrola,CORE,Everstone
Boldore,CORE,Everstone
Gigalith,CORE,Everstone
Hawlucha,CORE,King's Rock
Bruxish,CORE,Razor Fang
Jangmo-o,CORE,Razor Claw
Hakamo-o,CORE,Razor Claw
Kommo-o,CORE,Razor Claw
